uid,uniname,ptype,total,dca_base
1,"Abu Dhabi, United Arab Emirates",SOE,14532.056332659346,14532.056332659346
2,"Alliance Resource Partners, USA",IOC,1337,0
3,"Anadarko, USA",IOC,5829.000798483332,5169.74918454643
4,"Anglo American, UK",IOC,6911.00387856815,0
5,"Antero, USA",IOC,262.58838629548427,262.58838629548427
6,"Apache, USA",IOC,1725.07328630057,1725.07328630057
7,"Arch Coal Company, USA",IOC,7354.438011766617,0
8,Bahrain Petroleum Corporation,SOE,1350.5941982774455,1350.5941982774455
9,"BHP Billiton, Australia",IOC,10068.13383318986,2560.3652617477856
10,"BP, UK",IOC,34564.048960114604,33693.77779230145
11,"British Coal Corporation, UK",SOE,9543.184234016617,0
12,"Canadian Natural Resources, Canada",IOC,1928.678340828136,1928.678340828136
13,"Cemex, Mexico",IOC,770.3211330724786,0
14,"Chesapeake Energy, USA",IOC,1214.3277275334128,1214.3277275334128
15,"Chevron, USA",IOC,43787.422544436005,42829.702578866454
16,"China, Peoples Rep. (coal & cement)",Nation-State,242650.00761900633,-7.275957614183426e-12
17,"Cloud Peak, USA",IOC,1435.5360600297558,0
18,CNOOC (China National Offshore Oil Co.; acq Nexen Jan2013),SOE,3250.306356619307,3250.306356619307
19,"Coal India, India",SOE,24340.72860023161,0
20,"ConocoPhillips, USA",IOC,15421.988307440857,15421.988307440857
21,"CONSOL Energy, USA",IOC,7404.467100908829,162.75138236773728
22,"Contura (AlphaNR, Massey), USA",IOC,5952.51067639005,0
23,"Cyprus Amax, USA",IOC,1793.1970981174954,0
24,Czech Republic (coal),Nation-State,2637.7334599141227,0
25,Czechoslovakia (coal),Nation-State,6934.379724783024,0
26,"Devon Energy, USA",IOC,2551.3171278429577,2551.3171278429577
27,"Ecopetrol, Colombia",SOE,2683.152023107044,2683.152023107044
28,"Egyptian General Petroleum, Egypt",SOE,3812.0079672727948,3812.0079672727948
29,"EnCana, Canada",IOC,2316.483057520399,2316.483057520399
30,"ENI, Italy",IOC,7836.679919143384,7836.679919143384
31,"EOG Resources, USA",IOC,1311.446952082633,1311.446952082633
32,"EQT Corporation, USA",IOC,459.1183411454234,459.1183411454234
33,"Equinor, Norway",IOC,6603.614634201953,6603.614634201953
34,"Exxaro, South Africa",IOC,1727.2026317840343,0
35,"ExxonMobil, USA",IOC,42484.113916273454,41304.79202002031
36,FSU (Former Soviet Union) (coal oil gas),Nation-State,104591.48746923411,48554.658830920285
37,"Gazprom, Russia",SOE,44756.5923080004,44756.5923080004
38,"Glencore, Switzerland",IOC,5032.178710593935,0
39,"HeidelbergCement, Germany (acq Italcementi)",IOC,1502.4653406730124,0
40,"Hess, USA",IOC,2665.3429092362167,2665.3429092362167
41,"Husky, Canada",IOC,1064.8617955435514,1064.8617955435514
42,"Inpex, Japan",IOC,917.9469417613301,917.9469417613301
43,"Iraq National Oil Company, Iraq",SOE,13161.9977978866,13161.9977978866
44,Kazakhstan (coal),Nation-State,6745.343696010202,0
45,"Kiewit Mining Group, USA",IOC,1416.5398655693991,0
46,"Kuwait Petroleum Corp., Kuwait",SOE,13922.987310006996,13922.987310006996
47,"LafargeHolcim, France",IOC,2907.4525472439473,0
48,"Libya National Oil Corp., Libya",SOE,7635.070353729994,7635.070353729994
49,"Lukoil, Russia",IOC,6529.092622506219,6529.092622506219
50,"Marathon, USA",IOC,3094.35146497313,3094.35146497313
51,"Murphy Oil, USA",IOC,659.2535514713143,659.2535514713143
52,"Murray Coal Corporation, USA",IOC,1745.5462049135626,0
53,"National Iranian Oil Co., Iran",SOE,36924.02611979862,36924.02611979862
54,"Nigerian National Petroleum, Nigeria",SOE,9008.245952363386,9008.245952363386
55,"Noble Energy, USA",IOC,753.238879974785,753.238879974785
56,"North American Coal, USA",IOC,1466.9943297377113,0
57,North Korea (coal),Nation-State,3786.895148067517,0
58,"Novatek, Russian Federation",IOC,2145.8973971073738,2145.8973971073738
59,"Obsidian, Canada",IOC,339.5439814199368,339.5439814199368
60,"Occidental, USA",IOC,5311.66533830286,3607.36445463809
61,"Oil and Gas Corp., India",SOE,5378.09448205132,5378.09448205132
62,"OMV Group, Austria",IOC,737.6171521105817,737.6171521105817
63,"Peabody Energy, USA",IOC,15783.340820981824,0
64,"Pertamina, Indonesia",SOE,7505.571091689794,7505.571091689794
65,"Petoro, Norway",IOC,3578.098765681874,3578.098765681874
66,"PetroChina (CNPC), China",SOE,16515.2189020658,16515.2189020658
67,PetroEcuador,IOC,1634.0344432370307,1634.0344432370307
68,"Petroleo Brasileiro (Petrobras), Brazil",SOE,9060.835140705498,9060.835140705498
69,"Petroleos de Venezuela (PDVSA), Venezuala",SOE,16028.98222166358,16028.98222166358
70,Petroleos Mexicanos (Pemex),SOE,23025.07581596908,23025.07581596908
71,"Petroleum Development Oman, Oman",SOE,3735.999873818791,3735.999873818791
72,"Petronas, Malaysia",SOE,7717.362093855503,7717.362093855503
73,"Pioneer, USA",IOC,520.4439711547452,520.4439711547452
74,Poland (coal),Nation-State,20946.11101887032,0
75,"Polish Oil & Gas Co., Poland",SOE,602.2590003151835,602.2590003151835
76,"PTTEP, Thailand",Nation-State,1337,1337
77,"Qatar Petroleum, Qatar",SOE,7507.242802593548,7507.242802593548
78,"Repsol, Spain (acq Talisman May2015)",IOC,5311.920229518847,5311.920229518847
79,"Rio Tinto, UK",IOC,6761.928454630426,0
80,"Rosneft, Russian Federation",SOE,8131.8274377740445,8131.8274377740445
81,"Royal Dutch Shell, Netherlands (acq BG Feb16)",IOC,32498.325660165585,31584.1406834756
82,"Ruhrkohle AG (RAG), Germany",IOC,1167.6556910346148,0
83,Russian Federation (excl. FSU) (coal),Nation-State,19653.945079540317,0
84,"RWE, Germany",IOC,7268.4155957501,0
85,"Santos, Australia",IOC,568.799350001173,568.799350001173
86,"Sasol, South Africa",IOC,4509.684318410273,96.19734360402799
87,"Saudi Aramco, Saudi Arabia",SOE,61142.62589389346,61142.62589389346
88,"Singareni Collieries, India",SOE,2671.2167158770917,0
89,"Sinopec, China",SOE,3589.7960794744668,3589.7960794744668
90,"Sonangol, Angola",SOE,2860.5994567450875,2860.5994567450875
91,"Sonatrach, Algeria",SOE,12699.749373295384,12699.749373295384
92,"Southwestern, USA",IOC,572.280007842802,572.280007842802
93,"Suncor, Canada",IOC,2431.754474305424,2431.754474305424
94,"Syrian Petroleum, Syria",SOE,1557.701648381579,1557.701648381579
95,"Taiheiyo, Japan",IOC,517.7644306353292,0
96,"Teck Resources, Canada",IOC,1337,0
97,"Total, France",IOC,12755.009627404837,12755.009627404837
98,"TurkmenGaz, Turkmenistan",SOE,2915.383906251145,2915.383906251145
99,"UK Coal, UK",IOC,881.9594769328801,0
100,Ukraine (coal),Nation-State,4777.086356393494,0
101,"Vale, Brazil",IOC,251.03416476797003,0
102,"Vistra Luminant, USA",IOC,1337.1240932269725,0
103,"Westmoreland Mining, USA",IOC,1609.988461753847,0
104,"Whitehaven Coal, Australia",IOC,258.16935565812145,0
105,"Wintershall, Germany",IOC,1002.3490221437389,1002.3490221437389
106,"Woodside, Australia",IOC,737.6224535256863,737.6224535256863
107,"YPF, Argentina",SOE,912.0112718138078,912.0112718138078
108,"Yukos, Russian Federation",IOC,2896.1089024563994,2896.1089024563994
